Username,Create time,teks
Muslim_AntiPKI9,Tue Feb 11 23:20:14 +0000 2025,INDONESIA GELAP https://t.co/rwjMZQJ87I
semesta_han,Thu Feb 13 10:57:39 +0000 2025,Kalian semua harus tau ada emak2 umur 31 thn tmn ig gw MASIH AJA MANGGIL PRABOWO BAPAK rasanya pengen gw kata2in indonesia gelap
abi_athallah,Thu Feb 13 23:32:51 +0000 2025,Indonesia ku kini gelap https://t.co/GlIJgYKHbe
IRFebi,Tue Feb 11 18:49:23 +0000 2025,Prabs oh prabs.. Indonesia gelap kalo kata meme gambar tea mah ya allah.. Kenapa aku jadi WNI... Wkwkkw
2025bebright,Fri Feb 14 05:56:05 +0000 2025,ganti username krn mekfluri boikot dan karna indonesia 2025 gelap banget coi
AslnSry,Thu Feb 13 04:03:53 +0000 2025,Indonesia gelap
normelpeople,Thu Feb 13 15:25:47 +0000 2025,@aniesbaswedan Saya sebenarnya bangga terlahir sebagai warga Indonesia Pak. Negeri ini memiliki kekayaan yang melimpah dan potensi yang besar. Tapi rasanya melelahkan melihat semakin banyak pihak yang berambisi merusak Ibu Pertiwi. Ironisnya yang merusak justru pemerintahannya sendiri.
Dinnnndaaa,Thu Feb 13 00:09:10 +0000 2025,Ini gelap banget Napa ya indonesia gelap banget ya allah 
LasegarSeleraku,Wed Feb 12 08:46:47 +0000 2025,Kok raja kecil kagak ada waktu harus Ge Er In Indro telat dikit Indonesia ke depan gelap total @jokoanwar @AgusYudhoyono @dewiirawan13 @anyaselalubenar @tvOneNews @TRANSTV_CORP @kompascom @Dennysiregar7 @KemenPU https://t.co/FX7xzhR4Ot
RisFinity,Thu Feb 13 04:40:27 +0000 2025,Menuju Indonesia gelap
TedInvestigasi,Sun Feb 09 03:29:20 +0000 2025,Pendanaan media untuk kebohongan Covid &amp; vaksin di Indonesia terungkap oleh Elon Musk: USAID kasih duit ke NGO gelap Internews Network --&gt; Internews Network mendistribusikan duit ke media lokal untuk menyensorkan informasi dan publikasi kebohongan. https://t.co/JzAKGYfpF8
mataharichan,Mon Feb 10 06:10:19 +0000 2025,jujur denger cerita awalnya tuh sedih bgt tau krn image indonesia jd jelek. dia bilang dia sering pergi2 ke konser negara lain sendirian tp ini pertama kalinya dia merasa ga aman &amp; merasa takut. KYK PLIS LAH GUYSSSSSS
DS_yantie,Thu Feb 13 10:05:58 +0000 2025,Ada berapa kata lucu nih? Jangan karena kalah pilpres kemarin lalu jelek jelekin IKN Bang nih lihat Otorita IKN mundur itu bukan karena mendukung yg kemarin kalah pilpres tapi karena GAK ADA DUITNYA GAK ADA INVESTOR NYA. Gak perlu di jelekin jalan menuju IKN juga https://t.co/ZUr0tCoQcy
NgkongRoses,Fri Feb 14 07:46:12 +0000 2025,Jadi masih bilang Indonesia baik-baik saja? Kalau sudah tau begini apa aksi/langkah yang akan dilakukan pak @prabowo ? https://t.co/uDCRY39atd https://t.co/3EJlYmrxgA
sh1nj1ii,Tue Feb 11 11:14:30 +0000 2025,males banget buka x tlnya kek tai indonesia gelap nih lama2
cnbcindonesia,Mon Feb 10 00:08:25 +0000 2025,Geger Monyet Buat 1 Negara Gelap Gulita Lampu Mati Total https://t.co/qDd4B0bES7
SiriusM30,Wed Feb 12 17:28:03 +0000 2025,Menuju Indonesia gelap
ChulafaauRasyi3,Fri Feb 14 15:07:24 +0000 2025,Angkatan Rakyat Perubahaan Indonesia : Suara Lantang Menyerang para Perusak di Ruang Terang. Setelahnya Bisikan Cinta Buat Perusak di Lorong2 Gelap. https://t.co/lmuGChgrFh
veneerate,Tue Feb 11 13:00:56 +0000 2025,@prabowo Gw dateng dari masa depan (2025) nih wo indonesia menuju gelap dibawah kepemimpinan elu 
txtdaritng,Wed Feb 12 04:25:03 +0000 2025,WARGA KABUPATEN BERBURU POCONG JADI-JADIANâ€¼ï¸ Infonya ini merupakan modus pelaku Manusia Sakti untuk mengambil uang dan perhiasan di dalam rumah dan bisa berubah jadi pocong. Ranca Boga Tigaraksa Kabupaten Tangerang https://t.co/DxzeRhXbBc
flowsiign,Mon Feb 10 16:58:54 +0000 2025,Kocak. Dia ngebuzzer padahal udah tau jkw gimana alasannya bu. Sekarang gara-gara dia bu Indonesia gelap bgt
Officialkjti,Thu Feb 13 07:22:51 +0000 2025,Beberapa Spill tipis-tipis dari Pak @sadadd kalo Player Issue bagian belakang akan direvisi dengan kain yang lebih tipis dan berpori/mesh. Sementara jersey Ketiga nanti kalo disetujui Federasi akan berwarna gelap dengan aksen Pink mungkinkah Black Pink Aye-Aye @Jerseyforum https://t.co/WpwH6nxzbL
fullofchocolate,Wed Feb 12 19:08:47 +0000 2025,semua yg kena dampak efisiensi ini.. sampe pemangkasan dana buat pendidikan... gila negara ini udah gila kah? indonesia beneran udah gelap..
lovayyaziya,Sun Feb 09 06:05:36 +0000 2025,Too much ga sih kalo berharap Indonesia se-adil ini? Buat para pembuli koruptor dll nya? Karena yang gw baca aparat seakan nyuruh kita diem dan mending milih mati aja kalo di begal karena kalo kita ngelawan dan begal nya mati nanti kita yang dipenjara.
plisitin,Mon Feb 10 13:36:45 +0000 2025,indonesia gelap gara-gara brightnessnya diturunin. mau minta dosen &amp; guru buat nerangin tapi gaji guru pada nggak layak + tukin dosen juga nggak dibayar
inisiafi,Fri Feb 14 11:09:25 +0000 2025,Satu Indonesia lagi kemusuhan sama MD kan? Jadi mohon jangan diajak main dulu. Alias 3-0 aja dah wkwk. https://t.co/YpnU7gm6Dj
democrazymedia,Thu Feb 13 23:40:00 +0000 2025,Blak-Blakan di Forum Internasional Prabowo: Tingkat Korupsi Negara Saya Sangat Mengkhawatirkan! https://t.co/IQnam4Vasw
Boediantar4,Tue Feb 11 12:12:16 +0000 2025,Tanah dibeli murah dengan intimidasi Laut bukan daratan secara ilegal dikapling Hutan mangrove sungai tanggul dikuasai... TERLANTARNYA DI MANA PAK YAI??? https://t.co/iBtP3cyAVL
pablonification,Thu Feb 13 02:37:00 +0000 2025, this is beyond indonesia gelap
si_will13,Thu Feb 13 07:08:02 +0000 2025,Indonesia gelap bgt
intinyadeh,Thu Feb 13 06:08:32 +0000 2025,#intinyadeh acara glamping Gubernur Bupati dan Walikota di Magelang. 503 peserta x akomodasi 2 75jt = 11M Byk kritisi krn dinilai boros di tengah efisiensi dan pemotongan anggaran K/L dimana2. Jd sorotan jg vendornya (PT Lembah Tidar Indonesia) yg punya anggota Gerindra.
andikamalreza,Tue Feb 11 07:53:19 +0000 2025,*ada ancaman militer masuk ke perbatasan wilayah* Kalo lo masuk ke RI guee tabook gue tabook! ..dan Indonesia pun menjadi Macan Asia https://t.co/KaHMmZc7tg
BraverNation,Sun Feb 09 15:53:24 +0000 2025,Apapun yg terjadi tetap jaga kedaulatan tanah dan air Indonesia selanjutnya proyek gelap penghianat harus ditumpas
Jawao01,Fri Feb 14 14:41:56 +0000 2025,loh sudah sejak 1945 Indonesia gelap kenapa baru viral sekarang telat lo
IndonesiaGelap2,Tue Feb 11 16:56:49 +0000 2025,@DitjenPajakRI Downtime mulu bener juga kagak!
margianta,Wed Feb 12 09:12:25 +0000 2025,Kantor dinas pada gelap. ASN dirumahkan. Anggaran pendidikan riset kesehatan dipotong. Eh pimpinan daerahnya dipaksa pake APBD buat glamping. sEmUA dEm1 MBG tAu. Yeah right.
chojjongho,Thu Feb 13 12:59:59 +0000 2025,turbulence nih lagunya sangat relate sama Indonesia sekarang gelap anjir kedepannya gue ga lihat cahaya blass
polisiolahraga,Mon Feb 10 11:39:43 +0000 2025,Ga jadi gelap dong indonesia bang? https://t.co/kysd7vwO3A
NoiseClicked,Wed Feb 12 14:02:26 +0000 2025,Indonesia ga cuman gelap tapi juga bergelombang
Sukirman2019,Thu Feb 13 12:31:09 +0000 2025,@threadbacaaan Yg di timur mabok soundhoreg yg di barat mabok organ tunggal saat pilpres mabok joget2 tim pilpres. Saat mereka sadar tanah dan laut mereka sudah di kapling oleh asing dan aseng.
shallhar,Fri Feb 14 10:23:18 +0000 2025,Indonesia itu surga if you know how to manage. Surga ga melulu tinggal di Jakarta neraka itu mah. Indonesia khan luas. Peluang ada aja kalau dasarnya mau kerja keras ga manja nyalahin kanan kiri mulu. Idup di Indo yg serba mudah aja kalian byk ngeluh mau halu tinggal di LN 
ddesfi_wita,Thu Feb 13 13:43:53 +0000 2025,MENUJU INDONESIA GELAP GULITA
barengwarga,Tue Feb 11 07:36:16 +0000 2025,
miinstansakura,Sun Feb 09 05:13:55 +0000 2025,bener bener indonesia gelap
BolaSportcom,Thu Feb 13 10:02:20 +0000 2025,Sadad menyebut seragam tempur timnas Indonesia yang ketiga memiliki paduan warna gelap dan terang. Selain itu ada sentuhan warna pink pada jersey ketiga timnas Indonesia terbaru nantinya https://t.co/NtR78WoZCF
qwertyping,Fri Feb 14 11:47:20 +0000 2025,PETAKA TANAH HITAM ...Sudah tidak terhitung berapa banyak nyawa perawan yang mati serta organ tubuh yang hilang. Saat ritual bernama Hari Dara berlangsung. 'A Thread' [ Bab 2 ] @bacahorror @IDN_Horor #bacahoror https://t.co/Wnpu0hzWDS
a_otama,Sun Feb 09 22:33:06 +0000 2025,Catatan Admin : Hari ini Desa Otsjanep merupakan salah satu bagian dari wilayah Indonesia. Terlepas dari berbagai macam cerita masa lalu tetang suku Asmat yang disturbing dan menakutkan dimasa kini mereka lebih terbuka dengan modernisasi bahkan mayoritas dari mereka memiliki
fallforseungmin,Thu Feb 13 03:59:54 +0000 2025,Ubur ubur ikan lele Indonesia makin hancur le
freyavanfuriana,Thu Feb 13 04:56:27 +0000 2025,Gelap. Indonesia emas 2045 cuma angan2 â€ï¸
Akhlis_M,Thu Feb 13 12:35:04 +0000 2025,@Razor_Language To those wondering what happened in Indonesia 1. Budget cut happen. The effects are: A. Many civil servant got laid off B. No budget for infrastructure (budget for road maintenance was literally 0) C. Education budget got cut including for active scholarship &amp; teacher fees -c
D19OXIN,Thu Feb 13 23:44:02 +0000 2025,sampai saat ini gw masih jengkel sama temen gw yang sok kritis tp milihnya genap hanya dengan serangan fajar 200 ribu doang. 200 ribu untuk indonesia gelap nyet makan tuh serangan gelap
joe_pride888,Fri Feb 14 13:23:09 +0000 2025,#PeringatanDarurat gegara jokowi mulyono di hati orangÂ² â–€â–ˆâ–€ â–ˆâ–€â–ˆ â–ˆâ–‘ â–ˆâ–€â–ˆ â–ˆ â–‘â–ˆâ–‘ â–ˆâ–„â–ˆ â–ˆâ–„ â–ˆâ–„â–ˆ â–ˆâ–„ NO DEBATâ€¼ï¸ Jumat doorstop Tom Lembong di dorongÂ² gabole bicara ke media Budaya Aparat Penegak Hukum Coklat (Jaksa) seolah paling bersih bikin luka pencari keadilan https://t.co/GLJLFzyFCS
tribunSUPERBALL,Thu Feb 13 10:02:27 +0000 2025,Sadad menyebut seragam tempur timnas Indonesia yang ketiga memiliki paduan warna gelap dan terang. Selain itu ada sentuhan warna pink pada jersey ketiga timnas Indonesia terbaru nantinya https://t.co/AqLCXyGuv2
barengwarga,Mon Feb 10 10:38:47 +0000 2025,Telat ngepost berikut MBG hari ini saudara saudara #awasiMBG https://t.co/RzQtYUOu8t
hnirankara,Wed Feb 12 14:19:21 +0000 2025,Beliau adalah Jenderal Hoegeng asal Pekalongan yang berani melawan mafia. Akan sangat memalukan bagi saya sebagai PUTRA DAERAH PEKALONGAN jika harus nangis dan minta maaf di hadapan @muannas_alaidid dan londo ireng londo ireng yang lainnya. Negara sudah serusak ini mau https://t.co/xsRc8O8yqV
officialinews_,Tue Feb 11 03:48:27 +0000 2025,Penjualan Mobil di Indonesia Januari 2025 Gelap Turun 18 6 Persen https://t.co/qLZIvurfUU
lutfi_diki,Tue Feb 11 16:06:21 +0000 2025,Indonesia Gelap tenan
Mythicalforest,Wed Feb 12 14:29:28 +0000 2025,Bulog dipegang TNI aktif Dua jenderal polisi masuk Kemendagri Good luck warga Indonesia. Negara mu dikuasai bandit-bandit berseragam
neohistoria_id,Fri Feb 14 11:27:33 +0000 2025,Jangan salahkan mereka yang ingin #KaburAjaDulu Kita sudah berjuang bersama. Memperingatkan turun ke jalan tapi apa hasilnya? Dituduh dibayar asing dibayar partai diejek dihina difitnah. Neo Historia sih akan tetap di Indonesia tapi beberapa hari ke depan kami akan
foulcalor,Sun Feb 09 13:34:57 +0000 2025,@longliveszl indonesia dark akademia: jawaban ujian nasional gak ke scan karena pensilnya bukan 2B/kertasnya rusak karena hitaminnya terlalu nafsu
maapcapek,Tue Feb 11 05:26:21 +0000 2025,ya allah marah marah karna kelas 5 gabisa pengurangan ratusan. bener bener menuju indonesia gelap
RagilSemar,Tue Feb 11 14:19:23 +0000 2025,Laut dirampok cukong gas langka negara hampir bangkrut anggaran dicekik pegawai dipecat kkb merajalela Eh .. wapresnya razia rambut. NEGERI SAKIT .. https://t.co/ToG51950ty
littlewizhard,Sun Feb 09 13:23:45 +0000 2025,indonesia gelap
Na_kyunn,Thu Feb 13 23:06:23 +0000 2025,Gw kalau punya privilege juga mau kabur gotong seluruh keluarga gw anjir Indonesia kek gelap banget
zoerreon,Thu Feb 13 11:46:21 +0000 2025,indonesia gelap
longliveszl,Sun Feb 09 12:55:40 +0000 2025,Indonesia dark akademia: gagal daftar ppds karena gurunya lalai input data
democrazymedia,Mon Feb 10 00:30:00 +0000 2025,JEJAK Digital Dikuliti Jokowi Dicap 'Penipu Ulung' Usai Koar-Koar IKN Diserbu Investor Asing: Dosa Mulyono Banyak! https://t.co/MFni2e1fYE
neocinamide,Thu Feb 13 02:56:32 +0000 2025,@jaesuhpaws bener-bener indonesia gelap kk zee... sinting bgt
__AnakKolong,Thu Feb 13 13:19:08 +0000 2025,KebijakanÂ²nya impulsif pemerintahannya seperti kompas tanpa jarum dan baru kali ini ada negara yang dipimpin : PRESIDEN Â½ 
lofispain,Fri Feb 14 15:10:44 +0000 2025,tenang saja indonesia habis gelap terbitlah terang R.A Kartini
tweets_dika,Fri Feb 14 03:01:32 +0000 2025,Indonesia gelap.
Mr_Everything_X,Wed Feb 12 06:00:41 +0000 2025,Trust me. Indonesia tahun ini gelap banget. Saranku rajin nabung. Tekan pengeluaran semaksimal mungkin.
MafiaWasit,Thu Feb 13 01:21:24 +0000 2025,Tapi kak dari gaya Color Gradingnya nampak editornya ingin menggambarkan bahwa Diks sedang berada di sebuah Negara Miskin yang tukin pegawainya ga cair-cair. Bahkan banyak pegawainya terdampak akan kebijakan efisiensi dari pemimpin negerinya..
WidasSatyo,Mon Feb 10 07:45:37 +0000 2025,Yg jelas gak mempan kena genjutsunya sih warga Aceh dan Sumbar. Makanya selama doi menjabat dua provinsi itu sering jd olok-olok pemujanya. 
IndonesiaGelap2,Wed Feb 12 16:45:07 +0000 2025,@RagilSemar Anggaran DPR Potong juga tuh!
Tifflyluvh,Sun Feb 09 02:42:23 +0000 2025,Indonesia makin hari makin gelap
iamyouralienbby,Fri Feb 14 00:45:03 +0000 2025,# indonesia gelap is so real
wardhanzz,Tue Feb 11 16:02:45 +0000 2025,Indonesia Gelap
xyifa,Thu Feb 13 10:18:52 +0000 2025,@worchestersire Indonesia gelap 2045
ihugkd,Thu Feb 13 01:29:11 +0000 2025,INDONESIA GELAP.
dotKEOS,Wed Feb 12 09:44:56 +0000 2025,@jokoanwar Gelap pokoknya Indonesia gelap
rezarezarezare,Thu Feb 13 08:44:36 +0000 2025,@iwanfals Kalo kata gw mah seniman kalo udah tua gak bisa konsisten sama ideologi pas mudanya mending diem aja. Kalo butuh duit ambil proyek diem2 di belakang aja. Liat noh Slank dulu salah satu band legend Indonesia sekarang udah kagak ada martabatnya karena menjilat rezim.
Aminuddin001,Tue Feb 11 05:28:36 +0000 2025,@jokoanwar Jangan-jangan kita akan mengulangi sejarah kita disalip oleh Korsel di tahun 70-an kita 11-12 bahkan kita sedikit lebih baik namun lihat sekarang mereka sudah maju Indonesia masih middle income low tech exporter. Vietnam mungkin kandidat yg cukup baik penyalip Indonesia.
DokterTifa,Fri Feb 14 12:32:52 +0000 2025,Kalau kalian percaya Jakarta sudah dalam kehancuran ekologis dan bakal tenggelam Mengapa ada Mega proyek Pulau Reklamasi PIK bahkan direncakan akan sampai PIK 11 seluas 35 000 hektar? Saya menjelaskan dengan sangat tajam dan masuk ke inti dari kontradiksi besar dalam
khusnul_mommy,Thu Feb 13 13:18:19 +0000 2025,@islah_bahrawi Menuju Indonesia gelap
cottonkapass,Thu Feb 13 14:38:10 +0000 2025,indonesia gelap fr
novablyze,Thu Feb 13 04:45:56 +0000 2025,@PleaseGenshinf2 @Razor_Language Because of the stupid government who only cares about their elites and they don't even punish corruption. For example one of the businessman in Indonesia did a corruption that made the country lost approx USD 22 Billion but only get 6.5 yrs jail time 
iniadikkk,Thu Feb 13 14:58:01 +0000 2025,@swunlady block temen-temenku plss sebel bgt liat snap indonesia gelap pakai sound tarian penghancur rayanya KEK GA GUNA
ondodam,Wed Feb 12 02:07:53 +0000 2025,Banjir di mana- manaa terus kementerianPUPR dikasih kena efisiensi mantaappp. Udah banjir plus jalanab rusak berlubang. Gelap sekali ya Allahhh. Astaghfirullah. Sabar betul jadi warga negara Indonesia. Kita mengeluhkan pemerintah begini tapi warga lain yg bela agak lain memang
RirinMarinasari,Fri Feb 14 09:42:50 +0000 2025,Pada dasarnya CA CS pasangan B serta Indonesia pada umumnya pada mirip tanpa makeup edit filter apalagi tanpa klinik (bleaching dan oplas meski habis bleaching masih gelap habis oplas masih black base shape). Kemudian AJS YP B indonesia lelaku umumnya juga sama tanpa itu
anisanisas,Mon Feb 10 12:06:44 +0000 2025,@xoloveliana Menuju Indonesia gelap
__Astari,Tue Feb 11 04:13:38 +0000 2025,@margianta Biar fair tambahin (-)nya -Birokrasinya masih ribet tapi improving -air quality is really bad saat winter (nov-feb) -musim panasnya panas banget (up to 40 deg C) -Musim hujan suka banjir (jun-oct) -kadang kebanyakan turis - unstable political situation
ms_chocopie,Wed Feb 12 08:49:45 +0000 2025,@sedangbacabuku Padahal mereka yang hitam. Seratus harian udah bikin Indonesia gelap.
basebuku,Tue Feb 18 10:10:07 +0000 2025, Laut Bercerita ï¸ Indonesia apa yang kalian alami sekarang? Indonesia gelap Laut. https://t.co/0Kdao4TOc1
pirrawh,Mon Feb 17 15:28:49 +0000 2025,#IndonesiaGelap di Bandung hari ini hujan deras bahkan tidak memadamkan api semangat massa aksi..Rispek besar https://t.co/10JYgEPwtr
GerakinUI,Tue Feb 18 09:22:43 +0000 2025,Kemarin kawan-kawan Koalisi Masyarakat Sipil turun ke jalan. Kita marah luar biasa! #IndonesiaGelap #PeringatanDarurat : pribadi &amp; @boeconomica https://t.co/qeP55WnvUE
BBCIndonesia,Mon Feb 17 10:54:41 +0000 2025,Mahasiswa dan koalisi masyarakat sipil menggelar aksi bertajuk Indonesia Gelap guna mendesak pertanggungjawaban pemerintah terkait situasi negara yang mereka klaim memburuk. Apa saja tuntutan aksi #IndonesiaGelap? Simak video berikut. https://t.co/wX5alSxVdA
AbdulRachimmks,Tue Feb 18 15:50:59 +0000 2025,Kalo bukan karena cinta mungkin tidak sekuat ini. Hidup Mahasiswa! Hidup Rakyat Indonesia! Hari ini temen temen Aksi Indonesia Gelap di Malang Raya Berhasil Menjalani Perjuangan dalam Menyuarakan tuntutan tuntutannya demi masyarakat #IndonesiaGelap2025 https://t.co/ZgeVPFvNgO
enoliska_,Mon Feb 17 12:11:39 +0000 2025,Aksi sampai gelap soalnya Indonesia udah gelap dari segala aspek gara2 orang rakus yg berkuasa. https://t.co/pIllPG0ZSq
kompascom,Tue Feb 18 14:31:37 +0000 2025,Indonesia Gelap bukan hanya sekadar demo tapi seruan serius dari para mahasiswa dan masyarakat yang khawatir dengan kebijakan pemerintah. Dengan 13 tuntutan yang jelas mereka mengingatkan pemerintah untuk tidak mengabaikan kepentingan rakyat. Penulis: Erwina Rachmi https://t.co/ReITxNKEMk
DS_yantie,Mon Feb 17 11:24:24 +0000 2025,Bahkan anak anak Papua pun ikut turun aksi #IndonesiaGelap mereka menolak MAKAN SIANG GRATIS dan menuntut PENDIDIKAN GRATIS. https://t.co/PWgy79HG1R
barengwarga,Mon Feb 17 08:22:39 +0000 2025,#IndonesiaGelap JAKARTA sebagian masih berkumpul di TIM dan segera march menuju Istana Negara. https://t.co/EFbC79xWnd
ronaldy596,Tue Feb 18 14:33:03 +0000 2025,Kata Jokowi Probowo adalah Presiden terkuat di Dunia saat ini &amp; Tidak ada yg berani mengkritik Presiden Prabowo. Nyatanya ! Aksi Indonesia Gelap di Malang Mahasiswa Membakar Banner Prabowo &amp; Gibran . Mahasiswa juga berhasil menduduki gedung DPRD kota Malang . https://t.co/G74vuGcQnT
TxtDriPolitik,Mon Feb 17 07:04:36 +0000 2025,Aksi demo bertajuk Indonesia Gelap yang digelar Aliansi Badan Eksekutif Mahasiswa Seluruh Indonesia atau BEM SI di kawasan Patung Kuda Jakarta Pusat pada hari ini Senin 17 Februari 2025. #IndonesiaGelap https://t.co/FFKOay5vst
BBCIndonesia,Mon Feb 17 12:14:32 +0000 2025,Kumpulan foto-foto aksi #IndonesiaGelap di Jakarta pada Senin (17/02). Para mahasiswa mendesak pemerintah bertanggung jawab atas situasi negara yang mereka sebut memburuk. https://t.co/TLw6JJ3nym https://t.co/MI5rO8gjVW
ilhampid,Tue Feb 18 09:55:26 +0000 2025,Gabungan mahasiswa hari ini aksi #IndonesiaGelap Krisis kebijakan dan krisis moralitas Tolak makan siang bergizi gratis Tolak danantara Tolak hidup jokowi jadi adili jokowi Mahasewa ndasmu kita di didik berfikir bukan siap pak ..! Siap pak .!! #daruratindonesia https://t.co/lmHposCXaw
SumaUI,Mon Feb 17 14:19:24 +0000 2025,[SUMA REPORT: TOLAK KEBIJAKAN UGAL-UGALAN MAHASISWA TURUN KE JALAN] Berangkat dari banyaknya kebijakan ugal-ugalan yang dilahirkan oleh Kabinet Merah Putih Aliansi BEM UI turut hadir pada aksi Indonesia Gelap untuk membersamai mahasiswa lainnya pada Senin (17/02). https://t.co/ohHyX8P68o
ruhulanakgaul,Mon Feb 17 07:54:53 +0000 2025,Makan Gratis Polemik Danantara RUU Kejaksaan yang minta kewenangan dan hak lebih besar efisiensi mengorbankan pendidikan Indonesia Gelap! #IndonesiaGelap https://t.co/zGv4z2X1fL
BBCIndonesia,Mon Feb 17 12:14:34 +0000 2025,Isu efisiensi anggaran dan program Makan Bergizi Gratis menjadi sorotan utama dalam aksi #IndonesiaGelap https://t.co/fW8UE5rLBB
amnestyindo,Mon Feb 17 06:27:47 +0000 2025,#IndonesiaGelap: habis gelap terbitlah perlawanan! Saat kondisi hidup layak yang seharusnya adalah hak kita bahkan menjadi sulit dicapai kita berhak melawan dan mengingatkan negara akan kewajibannya menghormati melindungi dan memenuhi hak kita. https://t.co/wzzkrnwh4H
mlytfess,Mon Feb 17 11:14:59 +0000 2025,Jangan lengah jangan mundur. Ini masih belum terlambat sebelum hancur Tetap gaungkan #IndonesiaGelap https://t.co/txzIfACGAV
arman_dhani,Tue Feb 18 05:12:41 +0000 2025,Penjelasan singkat #IndonesiaGelap dalam bahasa Madura. Gebey ca kanca ben tretan dhibik. https://t.co/x3yOPsCAR7
BBCIndonesia,Tue Feb 18 10:04:08 +0000 2025,Protes mahasiswa soal #IndonesiaGelap dimulai di media sosial. Melihat tidak ada perubahan kebijakan dari pemerintah protes berlanjut di dunia nyata. Kira-kira bagaimana tanggapan pemerintah? https://t.co/JmAviC8vIn https://t.co/AjUK59Zzi1
HaveAnEyesDay,Tue Feb 18 05:27:37 +0000 2025,#IndonesiaGelap: A call to international journalist. Today (17/02) many Indonesian gathered to criticize the new government's ongoing policies and to protest against austerity measures. a Thread https://t.co/Oht9gmRKol
NenkMonica,Mon Feb 17 11:02:15 +0000 2025,Mahasiswa dan koalisi masyarakat sipil menggelar aksi bertajuk Indonesia Gelap guna mendesak pertanggungjawaban pemerintah terkait situasi negara yang mereka klaim memburuk. #IndonesiaGelap #IndonesiaGelap https://t.co/CeAwf7Bfmg
KatolikG,Tue Feb 18 06:14:48 +0000 2025,Terima kasih pada Adik-adik mahasiswa dan masyarakat yg digerakan oleh hati nuraninya menjaga lilin tetap Menyala sebab Indonesia gelap karena musim hujan dan ketika malam. https://t.co/HHaUJzwEyk
ainascnrrmt,Mon Feb 17 11:33:19 +0000 2025,#IndonesiaGelap terlalu banyak hal ngga adil bahkan untuk orang yg punya kesempatan lebih dari yang lain nya di mulai dari sulit nya cari kerja walaupun dia pintar sampai sulit nya mencari gas untuk memasak. Kalo udah gini salah siapa? Masih rakyat nya atau justru penguasa nya? https://t.co/OemCKJvk2K
hammielvr,Tue Feb 18 14:40:20 +0000 2025,Indonesia Gelap https://t.co/mU7qyJzgob
GenkBos_,Mon Feb 17 08:57:32 +0000 2025,Tidak ada niat yang baik dari pemimpin untuk memperbaiki ngeri ini... Di awali dengan pengangkatan menteri yang tidak berkompenten NDASMU â€¼ï¸ #IndonesiaGelap #IndonesiaGelap https://t.co/1wOAimUW7Y
ruhulanakgaul,Mon Feb 17 12:48:35 +0000 2025,Aku suka lihat aksi heroik adik-adik mahasiswa ini. Benar dik! Indonesia gelap! Efisiensi APBN yg menggerogoti anggaran pendidikan Gas dibikin langka sampai memakan korban meninggal Penegak hukum seperti Kejaksaan yang serakah minta kewenangan lebih besar melalui RUU https://t.co/9TG27n2KKw
